# t <num-points> <max-error> <test-file> <reference-render> <error-mask>
t 5 0.10 01.txt render-01.png mask-all.png
t 5 0.10 02.txt render-02.png mask-all.png
t 1 0.35 03.txt render-03.png mask-small-all.png
t 1 0.10 04.txt render-04.png mask-all.png
t 1 0.20 05.txt render-05.png mask-all.png
t 2 0.10 06.txt render-06.png mask-all.png
t 3 0.80 06.txt render-06.png mask-1.png
t 1 0.90 07.txt render-07.png mask-1.png
t 1 0.30 08.txt render-08.png mask-2.png
t 1 0.30 08.txt render-08.png mask-3.png
t 1 0.30 08.txt render-08.png mask-4.png
t 1 0.30 08.txt render-08.png mask-5.png
t 1 0.30 08.txt render-08.png mask-6.png
t 5 0.10 09.txt render-09.png mask-all.png
t 1 0.10 10.txt render-10.png mask-all.png
t 1 0.10 11.txt render-11.png mask-all.png
t 1 0.10 12.txt render-12.png mask-all.png
t 1 0.10 13.txt render-13.png mask-all.png
t 1 0.10 14.txt render-14.png mask-all.png
t 1 0.10 15.txt render-15.png mask-all.png
t 1 0.10 16.txt render-16.png mask-all.png
t 1 0.10 17.txt render-17.png mask-all.png
t 1 0.10 18.txt render-18.png mask-all.png
t 1 0.10 19.txt render-19.png mask-all.png
t 1 0.10 20.txt render-20.png mask-all.png
t 3 0.10 21.txt render-21.png mask-all.png
t 1 0.10 22.txt render-22.png mask-all.png
t 1 0.10 23.txt render-23.png mask-all.png
t 1 0.10 24.txt render-24.png mask-all.png
t 1 0.30 25.txt render-25.png mask-all.png
t 1 0.10 26.txt render-26.png mask-all.png
t 1 0.30 27.txt render-27.png mask-all.png
t 1 0.30 28.txt render-28.png mask-all.png
